machine_id,machine_name,ts_cambio,piezas_hasta_cambio,scrap_hasta_cambio,duracion_cambio_min,ops_hasta_cambio
21,Talladora21 LUK3,2025-01-29 08:42:00,9444.0,8.0,19.0,37.0
21,Talladora21 LUK3,2025-01-29 09:26:00,0.0,0.0,32.0,1.0
21,Talladora21 LUK3,2025-01-31 13:24:00,3250.0,0.0,39.0,11.0
21,Talladora21 LUK3,2025-02-06 11:14:00,3921.0,6.0,26.0,16.0
21,Talladora21 LUK3,2025-02-12 08:53:00,3984.0,0.0,25.0,15.0
21,Talladora21 LUK3,2025-02-13 00:20:00,968.0,0.0,22.0,5.0
21,Talladora21 LUK3,2025-02-25 11:46:00,6872.0,0.0,30.0,38.0
21,Talladora21 LUK3,2025-03-05 23:52:00,2327.0,3.0,28.0,18.0
21,Talladora21 LUK3,2025-03-14 06:04:00,2200.0,0.0,23.0,9.0
21,Talladora21 LUK3,2025-03-18 12:57:00,968.0,44.0,20.0,12.0
21,Talladora21 LUK3,2025-03-25 03:39:00,4180.0,0.0,67.0,23.0
21,Talladora21 LUK3,2025-03-27 10:42:00,2204.0,0.0,75.0,13.0
21,Talladora21 LUK3,2025-04-01 00:42:00,2727.0,1.0,14.0,15.0
21,Talladora21 LUK3,2025-04-07 11:42:00,3887.0,1.0,18.0,32.0
21,Talladora21 LUK3,2025-04-16 13:07:00,2304.0,1.0,25.0,25.0
21,Talladora21 LUK3,2025-05-05 14:01:00,4703.0,71.0,46.0,32.0
21,Talladora21 LUK3,2025-05-07 13:24:00,1034.0,0.0,35.0,10.0
21,Talladora21 LUK3,2025-05-07 14:00:00,433.0,7.0,14.0,2.0
21,Talladora21 LUK3,2025-05-09 04:47:00,1650.0,0.0,11.0,7.0
21,Talladora21 LUK3,2025-05-13 20:26:00,3080.0,0.0,27.0,10.0
21,Talladora21 LUK3,2025-05-15 20:17:00,3409.0,1.0,9.0,12.0
21,Talladora21 LUK3,2025-05-19 13:16:00,1708.0,8.0,41.0,5.0
21,Talladora21 LUK3,2025-05-19 14:23:00,394.0,2.0,54.0,2.0
21,Talladora21 LUK3,2025-05-21 21:07:00,2244.0,0.0,36.0,12.0
21,Talladora21 LUK3,2025-05-26 17:21:00,2837.0,1.0,34.0,13.0
21,Talladora21 LUK3,2025-05-29 10:52:00,2288.0,0.0,192.0,13.0
21,Talladora21 LUK3,2025-05-29 14:04:00,168.0,8.0,195.0,2.0
21,Talladora21 LUK3,2025-05-30 12:55:00,804.0,0.0,64.0,6.0
21,Talladora21 LUK3,2025-06-03 19:48:00,2926.0,0.0,23.0,12.0
21,Talladora21 LUK3,2025-06-05 17:30:00,2574.0,0.0,24.0,9.0
21,Talladora21 LUK3,2025-06-10 12:51:00,2728.0,0.0,24.0,12.0
21,Talladora21 LUK3,2025-06-16 10:39:00,3369.0,4.0,61.0,19.0
21,Talladora21 LUK3,2025-06-18 13:45:00,1716.0,0.0,15.0,13.0
21,Talladora21 LUK3,2025-06-18 14:00:00,79.0,9.0,12.0,2.0
21,Talladora21 LUK3,2025-06-30 22:57:00,6564.0,28.0,16.0,37.0
21,Talladora21 LUK3,2025-07-04 07:23:00,4217.0,10.0,33.0,20.0
21,Talladora21 LUK3,2025-07-10 01:18:00,3097.0,8.0,74.0,14.0
21,Talladora21 LUK3,2025-07-28 00:35:00,2642.0,2.0,25.0,14.0
21,Talladora21 LUK3,2025-08-22 13:17:00,7467.0,95.0,31.0,33.0
21,Talladora21 LUK3,2025-08-28 13:12:00,2662.0,19.0,48.0,14.0
40,Talladora40 LUK1,2025-01-07 07:37:00,195.0,0.0,85.0,2.0
40,Talladora40 LUK1,2025-01-09 20:37:00,1485.0,15.0,70.0,11.0
40,Talladora40 LUK1,2025-01-10 06:08:00,270.0,0.0,59.0,2.0
40,Talladora40 LUK1,2025-01-14 12:28:00,1095.0,30.0,28.0,9.0
40,Talladora40 LUK1,2025-01-19 22:00:00,1785.0,45.0,89.0,9.0
40,Talladora40 LUK1,2025-01-21 19:01:00,683.0,22.0,43.0,3.0
40,Talladora40 LUK1,2025-01-27 02:51:00,2049.0,1.0,35.0,10.0
40,Talladora40 LUK1,2025-01-30 08:08:00,2311.0,4.0,43.0,12.0
40,Talladora40 LUK1,2025-02-05 10:23:00,2007.0,3.0,24.0,12.0
40,Talladora40 LUK1,2025-02-07 01:55:00,612.0,3.0,37.0,4.0
40,Talladora40 LUK1,2025-02-12 19:04:00,1111.0,29.0,36.0,7.0
