work_order_id,ref_id_str,cantidad_lanzada,cantidad_final_ok,scrap_total,tiempo_total_min,primera_fase_ts,ultima_fase_ts,y_fabricacion_min,incidencias_duracion_total,scrap_rate,yield_ok,fabricacion_dias,incidencias_horas,duracion_min_por_ud,ops_count,ops_unique,duracion_ops_min,scrap_ops_total,op,dur_min_aplanado,dur_min_calibrado,dur_min_calibrar_fri,dur_min_curvado_cort,dur_min_curvar_corta,dur_min_entrada_de_d,dur_min_granallado,dur_min_normalizado,dur_min_rectificado,dur_min_sacar_entrad,dur_min_soldadura_re,dur_min_soldar_rebab,dur_min_tallado,dur_min_tallar,dur_min_templar_por,dur_min_temple_reven,dur_min_torneado,dur_min_aplanado_por_ud,dur_min_calibrado_por_ud,dur_min_calibrar_fri_por_ud,dur_min_curvado_cort_por_ud,dur_min_curvar_corta_por_ud,dur_min_entrada_de_d_por_ud,dur_min_granallado_por_ud,dur_min_normalizado_por_ud,dur_min_rectificado_por_ud,dur_min_sacar_entrad_por_ud,dur_min_soldadura_re_por_ud,dur_min_soldar_rebab_por_ud,dur_min_tallado_por_ud,dur_min_tallar_por_ud,dur_min_templar_por_por_ud,dur_min_temple_reven_por_ud,dur_min_torneado_por_ud,scrap_aplanado,scrap_calibrado,scrap_calibrar_fri,scrap_curvado_cort,scrap_curvar_corta,scrap_entrada_de_d,scrap_granallado,scrap_normalizado,scrap_rectificado,scrap_sacar_entrad,scrap_soldadura_re,scrap_soldar_rebab,scrap_tallado,scrap_tallar,scrap_templar_por,scrap_temple_reven,scrap_torneado
24/0712,031100,9753,9620,133,32153,2025-01-07 02:03:00,2025-01-23 00:26:00,22943,1589,0.013636829693427664,0.9863631703065724,15.932638888888889,26.483333333333334,2.352404388393315,8,8,32153.0,133.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > ENTRADA DE D > RECTIFICADO,,1299.0,,1565.0,,6124.0,1028.0,1026.0,5604.0,,3340.0,,12167.0,,,,,,0.13318978775761303,,0.16046344714446836,,0.627909361222188,0.10540346560032811,0.10519840049215626,0.5745924330975084,,0.3424587306469804,,1.2475135855634163,,,,,,0.0,,30.0,,21.0,0.0,0.0,44.0,,16.0,,22.0,,,,
24/0722,008091,2596,2525,71,11508,2025-01-16 06:54:00,2025-02-07 15:01:00,32167,1929,0.027349768875192602,0.9726502311248074,22.338194444444444,32.15,12.390986132511557,8,8,11508.0,71.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > TEMPLE-REVEN > RECTIFICADO,,783.0,,368.0,,,395.0,395.0,2109.0,,953.0,,4472.0,,,2033.0,,,0.30161787365177195,,0.14175654853620956,,,0.15215716486902928,0.15215716486902928,0.8124036979969184,,0.3671032357473035,,1.7226502311248073,,,0.7831278890600925,,,0.0,,8.0,,,0.0,0.0,13.0,,9.0,,35.0,,,6.0,
24/0728,092901,1000,953,47,3435,2025-01-08 16:17:00,2025-04-07 13:54:00,128017,438,0.047,0.953,88.90069444444444,7.3,128.017,5,5,3435.0,47.0,CURVADO-CORT > SOLDADURA-RE > GRANALLADO > CALIBRADO > TORNEADO,,609.0,,710.0,,,149.0,,,,699.0,,,,,,1268.0,,0.609,,0.71,,,0.149,,,,0.699,,,,,,1.268,,0.0,,33.0,,,0.0,,,,14.0,,,,,,0.0
24/0733,124203,9247,9149,98,41450,2025-01-09 07:35:00,2025-02-07 20:44:00,42549,5448,0.010598031794095382,0.9894019682059046,29.547916666666666,90.8,4.6013842327241266,8,8,41450.0,98.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > TORNEADO > RECTIFICADO,,4356.0,,1853.0,,,1394.0,1391.0,8580.0,,3938.0,,12805.0,,,,7133.0,,0.4710716989293825,,0.20038931545366065,,,0.1507515951119282,0.15042716556721097,0.927868497891208,,0.42586784903211855,,1.384773440034606,,,,0.7713853141559425,,2.0,,0.0,,,0.0,0.0,47.0,,12.0,,20.0,,,,17.0
24/0734,124203,2639,2614,25,11135,2025-01-15 12:09:00,2025-02-20 05:58:00,51469,1388,0.009473285335354301,0.9905267146646457,35.74236111111111,23.133333333333333,19.50322091701402,8,8,11135.0,25.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > TORNEADO > RECTIFICADO,,612.0,,755.0,,,394.0,395.0,2778.0,,956.0,,2946.0,,,,2299.0,,0.2319060250094733,,0.28609321712769986,,,0.1492989768851838,0.14967790829859795,1.05267146646457,,0.36225843122394846,,1.1163319439181507,,,,0.8711633194391815,,0.0,,6.0,,,0.0,0.0,13.0,,5.0,,1.0,,,,0.0
24/0735,902081,2869,2559,310,24345,2025-01-08 12:05:00,2025-01-27 23:06:00,28021,5703,0.10805158591843848,0.8919484140815616,19.459027777777777,95.05,9.766817706517951,9,9,24345.0,310.0,CURVADO-CORT > SOLDADURA-RE > GRANALLADO > NORMALIZADO > CALIBRADO > TALLADO > ENTRADA DE D > TEMPLE-REVEN > RECTIFICADO,,993.0,,513.0,,6627.0,430.0,429.0,3526.0,,1535.0,,7808.0,,,2484.0,,,0.34611362844196586,,0.17880794701986755,,2.3098640641338446,0.14987800627396305,0.14952945277100035,1.2289996514464971,,0.5350296270477518,,2.7215057511327987,,,0.8658069013593587,,,0.0,,0.0,,2.0,0.0,0.0,248.0,,17.0,,28.0,,,15.0,
24/0736,902081,1325,1262,63,10415,2025-01-13 09:55:00,2025-02-07 05:31:00,35736,1672,0.047547169811320754,0.9524528301886792,24.816666666666666,27.866666666666667,26.97056603773585,9,9,10415.0,63.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > ENTRADA DE D > TEMPLE-REVEN > RECTIFICADO,,495.0,,238.0,,2854.0,233.0,231.0,1484.0,,464.0,,3158.0,,,1258.0,,,0.37358490566037733,,0.17962264150943397,,2.1539622641509433,0.1758490566037736,0.17433962264150943,1.12,,0.350188679245283,,2.3833962264150945,,,0.9494339622641509,,,0.0,,7.0,,10.0,0.0,0.0,7.0,,0.0,,39.0,,,0.0,
24/0740,913600,3324,2889,435,14891,2025-02-12 20:42:00,2025-06-20 00:36:00,183114,2401,0.13086642599277978,0.8691335740072202,127.1625,40.016666666666666,55.088447653429604,9,9,14891.0,435.0,CURVAR-CORTA > SOLDAR-REBAB > NORMALIZADO > GRANALLADO > CALIBRAR FRI > TALLAR > SACAR ENTRAD > TEMPLAR POR > RECTIFICADO,,,192.0,,426.0,,1200.0,463.0,2211.0,3933.0,,1155.0,,3691.0,1620.0,,,,,0.05776173285198556,,0.12815884476534295,,0.36101083032490977,0.13929001203369434,0.6651624548736462,1.1832129963898916,,0.34747292418772563,,1.1104091456077017,0.48736462093862815,,,,,0.0,,7.0,,0.0,0.0,20.0,26.0,,10.0,,16.0,356.0,,
24/0744,081GJ1,3283,3226,57,10948,2025-01-07 10:53:00,2025-01-28 01:55:00,29702,2118,0.017362168748096252,0.9826378312519037,20.62638888888889,35.3,9.047212915016752,8,8,10948.0,57.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > TALLADO > CALIBRADO > TEMPLE-REVEN > RECTIFICADO,,779.0,,407.0,,,362.0,361.0,1090.0,,1229.0,,4196.0,,,2524.0,,,0.23728297289064879,,0.12397197685044167,,,0.11026500152299726,0.10996040207127628,0.33201340237587573,,0.3743527261650929,,1.278099299421261,,,0.768809016143771,,,0.0,,0.0,,,0.0,0.0,11.0,,11.0,,26.0,,,9.0,
24/0745,081290,2294,2241,53,9350,2025-01-16 21:56:00,2025-02-06 09:44:00,29508,705,0.023103748910200523,0.9768962510897995,20.491666666666667,11.75,12.86312118570183,8,8,9350.0,53.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > ENTRADA DE D > RECTIFICADO,,325.0,,483.0,,2469.0,238.0,240.0,2035.0,,926.0,,2634.0,,,,,,0.14167393199651265,,0.2105492589363557,,1.0762859633827375,0.1037489102005231,0.1046207497820401,0.8870967741935484,,0.4036617262423714,,1.14821272885789,,,,,,0.0,,0.0,,5.0,0.0,0.0,12.0,,4.0,,32.0,,,,
