ref_id,ref_id_str,machine_name,piezas_hora_teorico
003800,003800,CURVADORA,45.71
009400,009400,CURVADORA,67.54
011028,011028,CURVADORA,186.17
012301,012301,CURVADORA,25.39
031100,031100,CURVADORA,49.63
081000,081000,CURVADORA,280.68
081147,081147,CURVADORA,27.28
081216,081216,CURVADORA,37.69
081290,081290,CURVADORA,35.99
081303,081303,CURVADORA,96.19
081602,081602,CURVADORA,26.38
081806,081806,CURVADORA,96.81
081901,081901,CURVADORA,229.43
081906,081906,CURVADORA,74.79
081910,081910,CURVADORA,200.22
081GJ1,081GJ1,CURVADORA,27.18
086503,086503,CURVADORA,84.19
091177,091177,CURVADORA,32.51
091232,091232,CURVADORA,62.26
124203,124203,CURVADORA,107.42
190301,190301,CURVADORA,34.78
563404,563404,CURVADORA,49.55
902081,902081,CURVADORA,81.74
028811,028811,CURVADORA-SIERRA,27.05
081103,081103,CURVADORA-SIERRA,57.6
081290,081290,CURVADORA-SIERRA,5.62
081906,081906,CURVADORA-SIERRA,44.95
081GJ1,081GJ1,CURVADORA-SIERRA,56.23
118506,118506,CURVADORA-SIERRA,5.26
552012,552012,CURVADORA-SIERRA,6.0
918506,918506,CURVADORA-SIERRA,4.8
0405.0,0405.0,Centro Daewo,13.18
091501,091501,Centro Daewo,117.22
100346.0,100346.0,Centro Daewo,17.3
613839.0,613839.0,Centro Daewo,20.69
11900.0,11900.0,Centro MAZAK,19.41
480454,480454,Curvadora134,185.64
510086,510086,Curvadora134,6.0
0305.0,0305.0,Curvadora25,108.71
28811.0,28811.0,Curvadora25,13.46
473205.0,473205.0,Curvadora25,132.97
480454.0,480454.0,Curvadora25,15.81
500460.0,500460.0,Curvadora25,108.2
503140.0,503140.0,Curvadora25,178.84
510086.0,510086.0,Curvadora25,2.24
603475.0,603475.0,Curvadora25,13.48
613802.0,613802.0,Curvadora25,227.33
936105.0,936105.0,Curvadora25,132.0
936205.0,936205.0,Curvadora25,15.67
936305.0,936305.0,Curvadora25,11.7
3304.0,3304.0,Fresadora Hey 122,49.56
81803.0,81803.0,Fresadora Hey 122,34.14
913600.0,913600.0,Fresadora Hey 122,47.22
190900.0,190900.0,Fresadora12,15.74
28811.0,28811.0,Fresadora12,14.3
480454.0,480454.0,Fresadora12,9.36
503140.0,503140.0,Fresadora12,16.63
510086.0,510086.0,Fresadora12,12.56
81290.0,81290.0,Fresadora12,11.85
902081.0,902081.0,Fresadora12,16.97
936105.0,936105.0,Fresadora12,12.32
936205.0,936205.0,Fresadora12,14.18
936305.0,936305.0,Fresadora12,14.42
114282.0,114282.0,Fresadora140,16.58
190900.0,190900.0,Fresadora140,13.75
28811.0,28811.0,Fresadora140,16.68
3501.0,3501.0,Fresadora140,19.88
42421.0,42421.0,Fresadora140,21.32
429804.0,429804.0,Fresadora140,20.08
480454.0,480454.0,Fresadora140,15.42
49390.0,49390.0,Fresadora140,6.71
503140.0,503140.0,Fresadora140,16.99
563404.0,563404.0,Fresadora140,18.7
902081.0,902081.0,Fresadora140,16.87
936305.0,936305.0,Fresadora140,15.24
114282.0,114282.0,Fresadora141,16.87
190900.0,190900.0,Fresadora141,15.01
28811.0,28811.0,Fresadora141,17.22
42421.0,42421.0,Fresadora141,22.02
429804.0,429804.0,Fresadora141,19.51
480454.0,480454.0,Fresadora141,14.51
49390.0,49390.0,Fresadora141,10.1
503140.0,503140.0,Fresadora141,17.32
563404.0,563404.0,Fresadora141,21.24
902081.0,902081.0,Fresadora141,16.04
936305.0,936305.0,Fresadora141,14.41
9400.0,9400.0,Fresadora141,18.45
190900.0,190900.0,Fresadora80,14.25
28811.0,28811.0,Fresadora80,11.76
429804.0,429804.0,Fresadora80,22.65
480454.0,480454.0,Fresadora80,16.42
49390.0,49390.0,Fresadora80,17.36
503140.0,503140.0,Fresadora80,19.95
510086.0,510086.0,Fresadora80,14.89
936105.0,936105.0,Fresadora80,8.84
936205.0,936205.0,Fresadora80,13.84
936305.0,936305.0,Fresadora80,6.15
000305,000305,Granalladora,209.52
011028,011028,Granalladora,3.51
012301,012301,Granalladora,32.0
028811,028811,Granalladora,128.89
081000,081000,Granalladora,14.73
081901,081901,Granalladora,60.19
081906,081906,Granalladora,35.57
114282,114282,Granalladora,3.44
124203,124203,Granalladora,67.76
190301,190301,Granalladora,44.25
473205,473205,Granalladora,216.65
603475,603475,Granalladora,198.17
613802,613802,Granalladora,205.32
902081,902081,Granalladora,36.62
936205,936205,Granalladora,219.16
936305,936305,Granalladora,230.16
003304,003304,Granalladora Sthick,23.62
003800,003800,Granalladora Sthick,67.25
008091,008091,Granalladora Sthick,190.5
031100,031100,Granalladora Sthick,38.5
031275,031275,Granalladora Sthick,45.01
081000,081000,Granalladora Sthick,51.03
081103,081103,Granalladora Sthick,5.84
081147,081147,Granalladora Sthick,32.62
081216,081216,Granalladora Sthick,49.69
081290,081290,Granalladora Sthick,44.53
081302,081302,Granalladora Sthick,62.16
081303,081303,Granalladora Sthick,38.78
081602,081602,Granalladora Sthick,199.18
081803,081803,Granalladora Sthick,58.64
081806,081806,Granalladora Sthick,26.2
081901,081901,Granalladora Sthick,55.7
081906,081906,Granalladora Sthick,66.51
081910,081910,Granalladora Sthick,184.7
081GJ1,081GJ1,Granalladora Sthick,128.71
086503,086503,Granalladora Sthick,35.66
091177,091177,Granalladora Sthick,35.49
091232,091232,Granalladora Sthick,48.65
118506,118506,Granalladora Sthick,5.97
124203,124203,Granalladora Sthick,121.27
190301,190301,Granalladora Sthick,4.21
552012,552012,Granalladora Sthick,161.33
563404,563404,Granalladora Sthick,88.38
902081,902081,Granalladora Sthick,33.92
904802,904802,Granalladora Sthick,208.81
913600,913600,Granalladora Sthick,83.31
918506,918506,Granalladora Sthick,90.07
918801,918801,Granalladora Sthick,122.37
000305,000305,Horno,180.73
011900,011900,Horno,100.12
012301,012301,Horno,7.38
042421,042421,Horno,28.14
081000,081000,Horno,42.46
081906,081906,Horno,29.35
081GJ1,081GJ1,Horno,8.29
100346,100346,Horno,244.07
124203,124203,Horno,22.54
190301,190301,Horno,27.2
190900,190900,Horno,7.83
473205,473205,Horno,131.04
480454,480454,Horno,132.54
500460,500460,Horno,7.5
503140,503140,Horno,154.54
510086,510086,Horno,184.43
603475,603475,Horno,190.11
613839,613839,Horno,13.64
902081,902081,Horno,5.61
