ref_id,familia,peso_neto_kg
000012,STELLRING,0.394
000042,STELLRING,0.375
000044,CORONA DE ARRANQUE,0.774
000065,CORONA DE ARRANQUE,0.8
000097,INKREMENT GEBERRING,0.38
000100,CORONA DE ARRANQUE,0.443
000142,STELLRING,0.361
000500,CORONA DE ARRANQUE,1.56
000600,CORONA DE ARRANQUE,1.33
001100,CORONA DE ARRANQUE,0.56
001101,STELLRING,0.93
001900,CORONA DE ARRANQUE,0.41137
001901,CORONA DE ARRANQUE,0.40956
001902,CORONA DE ARRANQUE,0.451
001982,CORONA DE ARRANQUE,1.935
002146,CORONA DE ARRANQUE,1.143
002250,CORONA DE ARRANQUE,0.713
002253,CORONA DE ARRANQUE,0.709
002260,CORONA DE ARRANQUE,0.983
002314,CORONA DE ARRANQUE,0.678
002322,CORONA DE ARRANQUE,1.035
002325,CORONA DE ARRANQUE,0.742
002334,CORONA DE ARRANQUE,0.686
002543,INKREMENT GEBERRING,0.388
002711,CORONA DE ARRANQUE,0.879
003097,INKREMENT GEBERRING,0.38
003127,INKREMENT GEBERRING,0.377
003153,INKREMENT GEBERRING,0.427
003161,INKREMENT GEBERRING,0.4
003179,INKREMENT GEBERRING,0.396
003209,STELLRING,0.435
003219,STELLRING,0.478
003233,STELLRING,0.393
004201,CORONA DE ARRANQUE,0.7
006044,CORONA DE ARRANQUE,5.014
006200,CORONA DE ARRANQUE,0.497
006203,CORONA DE ARRANQUE,0.629
007024,CORONA DE ARRANQUE,0.486
007803,INKREMENT GEBERRING,0.3
008011,CORONA DE ARRANQUE,0.496
008091,CORONA DE ARRANQUE,1.19
008120,CORONA DE ARRANQUE,0.72
008400,CORONA DE ARRANQUE,0.75
008701,CORONA DE ARRANQUE,0.614
009600,CORONA DE ARRANQUE,0.8476
009800,CORONA DE ARRANQUE,0.851
009900,CORONA DE ARRANQUE,0.69
010000,CORONA DE ARRANQUE,1.11
010002,CORONA DE ARRANQUE,1.08
010300,CORONA DE ARRANQUE,1.055
010500,CORONA DE ARRANQUE,1.59
011301,STELLRING,1.11
011501,STELLRING,0.86
011701,STELLRING,1.05
011801,STELLRING,1.06
011901,STELLRING,0.89
012300,CORONA DE ARRANQUE,0.79
01702,CORONA DE ARRANQUE,1.0
019985,STELLRING,0.458
026275,CORONA DE ARRANQUE,0.7
030016,STELLRING,1.18
030017,STELLRING,1.38
03009,CORONA DE ARRANQUE,0.759
0305,CORONA DE ARRANQUE,5.0
03501,CORONA DE ARRANQUE,0.95
036275,CORONA DE ARRANQUE,1.0
037275,CORONA DE ARRANQUE,1.2
03800,CORONA DE ARRANQUE,0.985
041000,CORONA DE ARRANQUE,0.97
041100,CORONA DE ARRANQUE,1.19
042421,CORONA DE ARRANQUE,1.36
045275,CORONA DE ARRANQUE,0.745
046655,CORONA DE ARRANQUE,0.5
04801,CORONA DE ARRANQUE,0.973
049390,CORONA DE ARRANQUE,1.49
052105,CORONA DE ARRANQUE,0.55
0534-21,CORONA DE ARRANQUE,1.2
055105,CORONA DE ARRANQUE,0.78
055275,CORONA DE ARRANQUE,0.387
05900,CORONA DE ARRANQUE,0.804
059275,CORONA DE ARRANQUE,0.875
06101,CORONA DE ARRANQUE,1.7
06102,CORONA DE ARRANQUE,1.69
065-1242,CORONA DE ARRANQUE,1.8
06700,CORONA DE ARRANQUE,0.973
068275,CORONA DE ARRANQUE,0.927
069-1242,CORONA DE ARRANQUE,2.48
070290,CORONA DE ARRANQUE,0.849
07602,CORONA DE ARRANQUE,0.97
07700,CORONA DE ARRANQUE,1.228
080000,CORONA DE ARRANQUE,0.484
080001,CORONA DE ARRANQUE,1.0
080100,CORONA DE ARRANQUE,0.58
080200,CORONA DE ARRANQUE,1.23
080300,CORONA DE ARRANQUE,0.61
080400,CORONA DE ARRANQUE,0.87
080500,CORONA DE ARRANQUE,0.83
080600,CORONA DE ARRANQUE,1.74
080700,CORONA DE ARRANQUE,0.56
080702,CORONA DE ARRANQUE,0.6
080900,CORONA DE ARRANQUE,0.61
080901,CORONA DE ARRANQUE,1.49
081000,CORONA DE ARRANQUE,1.59
081001,CORONA DE ARRANQUE,0.411
081002,CORONA DE ARRANQUE,1.59
081100,CORONA DE ARRANQUE,0.57
081200,CORONA DE ARRANQUE,1.43
081201,CORONA DE ARRANQUE,1.15
081202,CORONA DE ARRANQUE,1.79
081203,CORONA DE ARRANQUE,0.72
081204,CORONA DE ARRANQUE,0.71
081300,CORONA DE ARRANQUE,0.68
081302,CORONA DE ARRANQUE,0.55
081303,CORONA DE ARRANQUE,0.65
081503,CORONA DE ARRANQUE,0.58
081505,CORONA DE ARRANQUE,0.62
081600,CORONA DE ARRANQUE,0.88
081601,CORONA DE ARRANQUE,0.9
081602,CORONA DE ARRANQUE,0.82
081604,CORONA DE ARRANQUE,0.81
081701,CORONA DE ARRANQUE,1.09
081702,CORONA DE ARRANQUE,0.63
081800,CORONA DE ARRANQUE,0.72
081803,CORONA DE ARRANQUE,0.63
081900,CORONA DE ARRANQUE,0.74
081901,CORONA DE ARRANQUE,0.89
081902,CORONA DE ARRANQUE,0.69
081903,CORONA DE ARRANQUE,0.85
08201,CORONA DE ARRANQUE,1.12
08203,CORONA DE ARRANQUE,0.97
082300,CORONA DE ARRANQUE,0.5
082301,CORONA DE ARRANQUE,0.66
082400,CORONA DE ARRANQUE,0.54
082500,CORONA DE ARRANQUE,1.01
082501,CORONA DE ARRANQUE,0.93
083200,CORONA DE ARRANQUE,0.94
083201,CORONA DE ARRANQUE,0.63
083400,CORONA DE ARRANQUE,0.92
084100,CORONA DE ARRANQUE,1.41
084300,CORONA DE ARRANQUE,0.84
084800,CORONA DE ARRANQUE,0.61
085600,CORONA DE ARRANQUE,1.06
086400,CORONA DE ARRANQUE,0.407
086500,CORONA DE ARRANQUE,0.68
086503,CORONA DE ARRANQUE,0.82
086504,CORONA DE ARRANQUE,0.85
086702,CORONA DE ARRANQUE,1.07
087400,CORONA DE ARRANQUE,0.53
087900,CORONA DE ARRANQUE,0.72
087903,CORONA DE ARRANQUE,0.66
088000,CORONA DE ARRANQUE,1.42
088500,CORONA DE ARRANQUE,1.56
089500,CORONA DE ARRANQUE,2.55
089800,CORONA DE ARRANQUE,0.51
090900,MASSERING,0.46993
091001,MASSERING,0.77
091102,MASSERING,1.11
091200,MASSERING,2.67
091400,MASSERING,1.18
091700,MASSERING,1.0
091701,MASSERING,0.99
091801,CORONA DE ARRANQUE,0.51
091901,MASSERING,0.54
092901,MASSERING,2.82
09400,CORONA DE ARRANQUE,0.8
094900,MASSERING,0.975
100130,ARO,4.675
100421,ARO,7.238
100484,ARO,14.273
100751,ARO,10.1
100755,ARO,7.5
100900,MASSERING,0.94
104755,CORONA DE ARRANQUE,0.533
10520,CORONA DE ARRANQUE,0.985
107087,CORONA DE ARRANQUE,0.539
110013,ARO,3.83
110085,ARO,4.8
110255,ARO,8.92
110340,ARO,2.37
110355,ARO,4.695
110382,ARO,4.0
1108,CORONA DE ARRANQUE,2.6
113203,CORONA DE ARRANQUE,1.01
114501,CORONA DE ARRANQUE,5.221
117900,MASSERING,1.41
118302,CORONA DE ARRANQUE,1.06
121105,CORONA DE ARRANQUE,1.72
1218,CORONA DE ARRANQUE,3.6
1239,CORONA DE ARRANQUE,1.1
124901,MASSERING,1.53
13248,CORONA DE ARRANQUE,0.414
13249,CORONA DE ARRANQUE,0.876
13250,CORONA DE ARRANQUE,0.568
13422,INKREMENT GEBERRING,0.53
150604,CORONA DE ARRANQUE,1.67
151053,CORONA DE ARRANQUE,6.0
1523,CORONA DE ARRANQUE,0.95
161016,CORONA DE ARRANQUE,6.0
190301,CORONA DE ARRANQUE,2.11
190600,CORONA DE ARRANQUE,0.56
190900,CORONA DE ARRANQUE,1.27
191000,CORONA DE ARRANQUE,0.92
191101,CORONA DE ARRANQUE,1.279
191803,CORONA DE ARRANQUE,0.62
195856,CORONA DE ARRANQUE,1.878
201081,CORONA DE ARRANQUE,1.29
202-12871,CORONA DE ARRANQUE,2.2
206017,CORONA DE ARRANQUE,0.68
223800,INKREMENT GEBERRING,0.245
233007,CORONA DE ARRANQUE,0.943
247062,CORONA DE ARRANQUE,0.62
247062-C45,CORONA DE ARRANQUE,0.62
256-11,CORONA DE ARRANQUE,1.18
258479,CORONA DE ARRANQUE,0.465
2816-023,CORONA DE ARRANQUE,1.15
2816-034,CORONA DE ARRANQUE,0.96
2816-10,CORONA DE ARRANQUE,2.9
2816-102,CORONA DE ARRANQUE,0.566
2816-11,CORONA DE ARRANQUE,2.2
2816-204,CORONA DE ARRANQUE,0.605
2816-38,CORONA DE ARRANQUE,1.8
2816-45,CORONA DE ARRANQUE,2.3
2816-65,CORONA DE ARRANQUE,0.9
2816-88,CORONA DE ARRANQUE,0.564
2F000,CORONA DE ARRANQUE,0.87
303014,ARO,2.9
337505,CORONA DE ARRANQUE,3.565
394202,CORONA DE ARRANQUE,0.64
394205,CORONA DE ARRANQUE,0.86
466550,CORONA DE ARRANQUE,0.5
473105,CORONA DE ARRANQUE,5.02
473205,CORONA DE ARRANQUE,5.14
473305,CORONA DE ARRANQUE,4.845
502081,CORONA DE ARRANQUE,0.471
504271,CORONA DE ARRANQUE,1.208
504348,CORONA DE ARRANQUE,1.113
510086,CORONA DE ARRANQUE,2.7
5167,ARO,0.74
551803,CORONA DE ARRANQUE,0.622
551918,CORONA DE ARRANQUE,0.62
552012,CORONA DE ARRANQUE,0.518
552013,CORONA DE ARRANQUE,0.45
552876,CORONA DE ARRANQUE,0.45
552890,CORONA DE ARRANQUE,0.518
552938,CORONA DE ARRANQUE,0.5
557938,CORONA DE ARRANQUE,0.5
559876,CORONA DE ARRANQUE,0.45
563404,CORONA DE ARRANQUE,0.635
591803,CORONA DE ARRANQUE,0.622
603152,ARO,2.5
603298,ARO,2.8
603301,ARO,2.8
603669,ARO,5.9
603678,ARO,5.88
613824,ARO,2.43
613825,ARO,3.35
613826,ARO,5.25
613827,ARO,2.58
613839,ARO,9.0
6302-24,CORONA DE ARRANQUE,1.05
6302-34,CORONA DE ARRANQUE,1.13
6325-34,CORONA DE ARRANQUE,1.84
700402,CORONA DE ARRANQUE,0.524
701800,CORONA DE ARRANQUE,0.949
701816,CORONA DE ARRANQUE,1.489
701846,CORONA DE ARRANQUE,0.714
702070,CORONA DE ARRANQUE,1.113
702761,CORONA DE ARRANQUE,0.465
702853,CORONA DE ARRANQUE,0.854
702923,CORONA DE ARRANQUE,1.105
703158,CORONA DE ARRANQUE,1.27
703378,CORONA DE ARRANQUE,0.65193
703379,MASSERING,2.038
703399,CORONA DE ARRANQUE,1.323
703452,CORONA DE ARRANQUE,1.84702
703454,CORONA DE ARRANQUE,1.366
703607,CORONA DE ARRANQUE,0.9321
703743,MASSERING,0.7965
703746,CORONA DE ARRANQUE,0.558
703871,CORONA DE ARRANQUE,0.896
704255,CORONA DE ARRANQUE,1.24
704269,CORONA DE ARRANQUE,1.227
704306,CORONA DE ARRANQUE,1.459
704349,CORONA DE ARRANQUE,1.517
704388,CORONA DE ARRANQUE,1.562
704389,MASSERING,0.529
711081,CORONA DE ARRANQUE,0.49826
732658,CORONA DE ARRANQUE,1.21
751041,CORONA DE ARRANQUE,0.65
800000,CORONA DE ARRANQUE,0
800200,CORONA DE ARRANQUE,0.96
800201,CORONA DE ARRANQUE,0.93
800202,CORONA DE ARRANQUE,0.82
800700,CORONA DE ARRANQUE,1.05
800703,CORONA DE ARRANQUE,0.63
801081,CORONA DE ARRANQUE,0.55
810600,CORONA DE ARRANQUE,0.93
818000,CORONA DE ARRANQUE,0.76
818003,INKREMENT GEBERRING,0
818500,CORONA DE ARRANQUE,0.78
818600,CORONA DE ARRANQUE,0.77
835783,CORONA DE ARRANQUE,2.0
836026,CORONA DE ARRANQUE,2.2
836058,CORONA DE ARRANQUE,2.6
836286,CORONA DE ARRANQUE,2.0
836943,CORONA DE ARRANQUE,2.3
836970,CORONA DE ARRANQUE,1.9
901995,CORONA DE ARRANQUE,1.078
902081,CORONA DE ARRANQUE,1.01
